Time,Velocity,Acceleration
639.139539,0.0,0.0
639.158103,0.0,0.0
639.177932,3.9509281738163367,199.2499961572391
639.197979,5.448439105243003,74.70000156773568
639.217977,10.12561990749293,233.8824283554855
639.237929,14.635824710291399,226.05276678031703
639.257932,19.22040831832654,229.1948011818751
639.27793,22.60008527271663,169.0007477943949
639.297951,26.172680223266354,178.44238302493108
639.31791,30.84153381021646,233.92221989862924
639.337902,35.985708471893524,257.3116577469261
639.357874,36.86346140908721,43.949175705556584
639.37793,41.83203675717593,247.73510909952574
639.39798,46.1451692227011,215.1188262110616
639.417974,50.38117375435228,211.86378571830684
639.437972,54.833987055787,222.6629313650186
639.457938,55.96938020197542,56.86633007034824
639.477912,60.297986945190296,216.71206284315764
639.497929,61.841595963944414,77.11490326972392
639.517949,66.60070716967942,237.71784244377184
639.537937,71.33135493539368,236.67439292132212
639.558077,74.40188130887067,152.4591049395064
639.577938,76.03374413311728,82.16418227920514
639.597963,78.80713012512926,138.49617937615466
639.61793,86.97268818628724,408.95267497259675
639.637917,85.24483400309204,-86.44890094531148
639.65793,88.37567552272166,156.4403897285568
639.677934,97.50394329481273,456.3221241777692
639.697923,90.15461580285873,-367.66859232539275
639.71797,97.10275599845806,346.592517362596
639.737933,100.49006144026472,169.67917857101568
639.757933,101.16938419690956,33.96613783227272
639.777928,106.06608732139266,244.8963803193028
639.797931,107.64777458846605,79.07250247839967
639.817946,108.92815820242438,63.97120229601044
639.83795,110.29881631390555,68.51920173380829
639.857917,113.33437664467243,152.0288641637193
639.877943,114.60446678264037,63.42205822297302
639.897946,120.00632019445658,270.05216276520827
639.917941,124.63788648268464,231.6362234673342
639.937893,121.8412063451661,-140.17041587409952
639.957943,126.33154522426528,223.95705132698598
639.977949,129.28620209739915,147.688537095811
639.997939,130.08105048850044,39.762300705402815
640.017967,137.26897430743995,358.89373971093505
640.03791,130.88573275474755,-320.0742893591007
640.057936,140.99088123948908,504.6014423612539
640.07793,140.1855871953979,-40.276785240138075
640.097977,139.96175071949284,-11.165584671287684
640.117946,146.9682191986243,350.8672682232594
640.13792,144.37466238923682,-129.84664110249912
640.157928,147.00342960092394,131.3858062621033
640.177909,149.25621871910886,112.74656514596685
640.197971,147.56909936369806,-84.09527242579867
640.217904,153.09189499856697,277.0679594085227
640.238054,152.06748826623456,-50.83904378806294
640.257966,156.52865182506542,224.0439714160356
640.27798,155.02585021583036,-75.08751919851524
640.297977,155.49729223371932,23.575637240046575
640.317941,160.6683202812926,259.01763411913726
640.337944,158.18311811143505,-124.24147227219714
640.357978,161.4716618826991,164.14813673068087
640.377895,169.87605624425706,421.9708973024631
640.397982,167.05480946208996,-140.45137562446183
640.417987,164.23777172223137,-140.81668282164065
640.437948,169.40704449316857,258.96862737066533
640.457951,173.38013991360737,198.62497727560432
640.477995,169.2668455597949,-205.2132485439871
640.49793,175.86480801211138,330.97378742442066
640.517897,175.5628941786142,-15.120640732104464
640.537952,178.26621590768636,134.79539910559427
640.55797,176.31963079145302,-97.24173824755343
640.577934,193.25742209582882,848.4167153032514
640.597908,184.26195650277975,-450.35874602377544
640.618014,187.87272356223406,179.5865442874954
640.637943,182.50812467407985,-269.18555312218643
640.657924,184.4281079513846,96.09044979239657
640.677965,185.31933408464405,44.470142870107374
640.697942,192.2884096378115,348.8549608626686
640.717943,196.85348577294084,228.24239463697182
640.737948,193.074989035323,-188.87761747681395
640.757971,189.67304950672533,-169.90158960152357
640.777973,199.6720843326575,499.9017511220772
640.797977,191.20982086452366,-423.02856769375165
640.817911,197.9968748480983,340.4762708720171
640.837918,206.0417445111674,402.10274719265897
640.857939,196.790351236131,-462.0844750520343
640.877927,201.90599379870238,255.9356895421401
640.89792,204.05464421491735,107.47013535812627
640.917962,197.9968748480983,-302.2537354965695
640.937943,196.790351236131,-60.383544965992726
640.957937,206.94513158659578,507.8913849387984
640.977922,201.5081494759463,-272.0531453912491
640.997923,208.9180507845613,370.47654160405307
641.017935,204.05464421491735,-243.0245137745223
641.037984,202.84043476173767,-60.56209552468956
641.057961,213.27504871541763,522.3313787715127
641.077939,210.2783807930968,-149.99839434954558
641.097959,204.05464421491735,-310.8759529570833
641.117965,219.29675309301518,761.8768808375798
641.138014,219.06187617074488,-11.715144010705432
641.157974,216.3583621841525,-135.44659251485808
641.177971,208.70486910008722,-382.73206401306885
641.197941,219.84676286429826,557.9315855873272
641.21793,208.70486910008722,-557.4012589026811
641.237914,214.69290243325977,299.64137976210463
641.257967,218.82750183817996,206.18358374946794
641.277983,220.32040041445475,74.58526060547396
641.298026,228.95235640084198,430.6718548293116
641.318058,215.59814306193127,-666.6440364904502
641.337903,222.5579670490593,350.70919562190875
641.358031,222.63872102839494,4.012022025816821
641.378111,233.39380568819192,535.6117858462709
641.398016,228.10123239935186,-265.8916497785269
641.417967,223.12447823791146,-249.44885777366713
641.437959,235.00280166765853,594.153833020502
641.457906,228.10123239935186,-345.99535109570377
641.477937,228.10123239935186,0.0
641.498014,217.12396148416718,-546.7585254359016
641.517905,233.9276840084851,844.7902329844093
641.537952,231.10821663060509,-140.64285817744673
641.557941,218.5936284838819,-626.0737478972027
641.57793,230.3274456284747,587.0137147724831
641.598017,226.83634571321866,-173.79897024233827
641.617938,237.0913118834067,514.7816962106201
641.63811,224.67679060939452,-615.433337002318
641.65839,246.71986938249157,1086.9368231272297
641.677961,225.17149179972716,-1101.0361035636201
641.697985,237.0913118834067,595.2766721763259
641.718025,230.3274456284747,-337.51827619430395
641.737923,247.41625611058728,858.8205086994833
